Product Name,Price,Discount,Battery,Display,Ratings,Reviews,Camera,Actual Price,Processor,RAM,ROM,brand,type
"vivo V40 5G (Titanium Grey, 128 GB)",34999.0,12.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,8027.0,850.0,50MP + 50MP | 50MP Front Camera,39999.0,Snapdragon 7 Gen 3 Processor,8.0,128.0,vivo,Android
"vivo Y18t (Gem Green, 128 GB)",8499.0,39.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,112.0,5.0,50MP + 0.08MP | 8MP Front Camera,13999.0,T612 Processor,4.0,128.0,vivo,Android
"vivo V40 5G (Ganges Blue, 128 GB)",34999.0,12.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,8027.0,850.0,50MP + 50MP | 50MP Front Camera,39999.0,Snapdragon 7 Gen 3 Processor,8.0,128.0,vivo,Android
"vivo Y22 (Metaverse Green, 128 GB)",15499.0,22.0,5000 mAh Lithium Battery,16.64 cm (6.55 inch) HD+ Display,1947.0,109.0,50MP + 2MP | 8MP Front Camera,19990.0,Mediatek Helio G70 Processor,6.0,128.0,vivo,Android
"vivo T2x 5G (Sunstone Orange, 128 GB)",11999.0,33.0,5000 mAh Battery,16.71 cm (6.58 inch) Full HD+ Display,187114.0,9391.0,50MP + 2MP | 8MP Front Camera,17999.0,Mediatek Dimensity 6020 Processor,4.0,128.0,vivo,Android
"vivo V40 5G (Titanium Grey, 512 GB)",41999.0,14.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,1050.0,106.0,50MP + 50MP | 50MP Front Camera,48999.0,Snapdragon 7 Gen 3 Processor,12.0,512.0,vivo,Android
"vivo Y21T (Pearl White, 128 GB)",15499.0,22.0,5000 mAh Lithium Battery,16.71 cm (6.58 inch) Full HD+ Display,2056.0,128.0,50MP + 2MP + 2MP | 8MP Front Camera,19990.0,Qualcomm Snapdragon 680 Processor,4.0,128.0,vivo,Android
"vivo V40 5G (Ganges Blue, 512 GB)",41999.0,14.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,1050.0,106.0,50MP + 50MP | 50MP Front Camera,48999.0,Snapdragon 7 Gen 3 Processor,12.0,512.0,vivo,Android
"vivo T2x 5G (Marine Blue, 128 GB)",11999.0,33.0,5000 mAh Battery,16.71 cm (6.58 inch) Full HD+ Display,187114.0,9391.0,50MP + 2MP | 8MP Front Camera,17999.0,Mediatek Dimensity 6020 Processor,4.0,128.0,vivo,Android
"vivo V30e (Silk Blue, 256 GB)",27999.0,20.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,5596.0,390.0,50MP + 8MP | 50MP Front Camera,34999.0,6 Gen 1 Processor,8.0,256.0,vivo,Android
"vivo Y28e (Breeze Green, 64 GB)",10449.0,19.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,107.0,3.0,13MP Rear Camera,12999.0,1 year,4.0,64.0,vivo,Android
"vivo Y12G (Glacier Blue, 64 GB)",11990.0,20.0,5000 mAh Li-ion Battery,16.54 cm (6.51 inch) HD+ Display,4790.0,335.0,13MP + 2MP | 8MP Front Camera,14990.0,Qualcomm Snapdragon 439 Processor,3.0,64.0,vivo,Android
